HOMBRE ,MUJER,UNIDAD ACADEMICA ,NIVEL,IDIOMA,POBLACION,COMPETENCIA
13,30,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,No aplica,FRANCÉS,Población General,INTERMEDIO
1,0,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,MEDIO SUPERIOR,FRANCÉS,Población IPN,AVANZADO
3,8,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,SUPERIOR,FRANCÉS,Población IPN,AVANZADO
10,14,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,EGRESADOS,FRANCÉS,Población IPN,AVANZADO
3,6,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,No aplica,FRANCÉS,Población General,AVANZADO
17,13,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,MEDIO SUPERIOR,ALEMÁN,Población IPN,BASICO
94,129,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,SUPERIOR,ALEMÁN,Población IPN,BASICO
1,3,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,POSGRADO,ALEMÁN,Población IPN,BASICO
95,66,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,EGRESADOS,ALEMÁN,Población IPN,BASICO
2,5,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,EMPLEADOS,ALEMÁN,Población IPN,BASICO
98,97,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,No aplica,ALEMÁN,Población General,BASICO
0,1,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,MEDIO SUPERIOR,ALEMÁN,Población IPN,INTERMEDIO
4,6,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,SUPERIOR,ALEMÁN,Población IPN,INTERMEDIO
4,5,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,EGRESADOS,ALEMÁN,Población IPN,INTERMEDIO
2,2,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,No aplica,ALEMÁN,Población General,INTERMEDIO
1,2,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,SUPERIOR,ALEMÁN,Población IPN,AVANZADO
1,0,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,POSGRADO,ALEMÁN,Población IPN,AVANZADO
8,8,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,EGRESADOS,ALEMÁN,Población IPN,AVANZADO
0,1,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,EMPLEADOS,ALEMÁN,Población IPN,AVANZADO
2,2,CENTRO DE LENGUAS EXTRANJERAS UNIDAD SANTO TOMÁS,No aplica,ALEMÁN,Población General,AVANZADO
